"number","assignment_group","assigned_to","sys_updated_by","closed_by","rule.priority","tenant_id","state","item","item.item_id","decision","rule.id","deleted","sys_created_on","sys_updated_on","closed_at","first_opened","decision_method","closefirstopenedtask","reopentask","item.abstract_product_id"
"RRTASK121757412","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P1","Item-US-0","Open","WeaverHT18 Cant Crit Wont Crit Funny RPG Gaming Dice Roll Failure Design Shirt Style Art, for unisex up to 5XL.","15860114952","Review","2452","true","2025-03-30 00:20:11","2025-03-30 00:20:18","","","Manual","0","0","4YB3ZX2GG3H2"
"RRTASK121757419","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P1","Item-US-0","Open","WeaverHT18 Cant Crit Wont Crit Funny RPG Gaming Dice Roll Failure Design Shirt Style Art, for unisex up to 5XL.","15846412042","Review","2452","true","2025-03-30 00:20:12","2025-03-30 00:20:16","","","Manual","0","0","4YB3ZX2GG3H2"
"RRTASK121757415","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P1","Item-US-0","Open","WeaverHT18 Cant Crit Wont Crit Funny RPG Gaming Dice Roll Failure Design Shirt Style Art, for unisex up to 5XL.","15825221340","Review","2452","true","2025-03-30 00:20:12","2025-03-30 00:20:18","","","Manual","0","0","4YB3ZX2GG3H2"
"RRTASK121757420","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P1","Item-US-0","Open","WeaverHT18 Cant Crit Wont Crit Funny RPG Gaming Dice Roll Failure Design Shirt Style Art, for unisex up to 5XL.","15860114955","Review","2452","true","2025-03-30 00:20:12","2025-03-30 00:20:20","","","Manual","0","0","4YB3ZX2GG3H2"
"RRTASK121757421","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P1","Item-US-0","Open","WeaverHT18 Cant Crit Wont Crit Funny RPG Gaming Dice Roll Failure Design Shirt Style Art, for unisex up to 5XL.","15813501118","Review","2452","true","2025-03-30 00:20:12","2025-03-30 00:20:17","","","Manual","0","0","4YB3ZX2GG3H2"
"RRTASK121757428","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P1","Item-US-0","Open","WeaverHT18 Cant Crit Wont Crit Funny RPG Gaming Dice Roll Failure Design Shirt Style Art, for unisex up to 5XL.","15825559687","Review","2452","true","2025-03-30 00:20:13","2025-03-30 00:20:18","","","Manual","0","0","4YB3ZX2GG3H2"
"RRTASK121757425","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P1","Item-US-0","Open","WeaverHT18 Cant Crit Wont Crit Funny RPG Gaming Dice Roll Failure Design Shirt Style Art, for unisex up to 5XL.","15861707182","Review","2452","true","2025-03-30 00:20:13","2025-03-30 00:20:18","","","Manual","0","0","4YB3ZX2GG3H2"
"RRTASK121760670","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P1","Item-US-0","Open","Adventure force night attack dart blaster, green, designed for ages 8 and up","586292846","Review","6663","true","2025-03-30 01:13:15","2025-03-30 01:13:17","","","Manual","0","0",""
"RRTASK121763989","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P1","Item-US-0","Open","Summer Savings Clearance! Hot Sweat Tightening Cream, 150ml, Abdominal and Thigh Firming Cream, Male and Female Exercise Enhancer, Skin Tightening Cream for Legs, Arms, and Hips","15867113329","Review","903","true","2025-03-30 02:00:36","2025-03-30 02:16:17","","","Manual","0","0",""
"RRTASK121772728","US - Marketplace Item Risk Reviewers PHL","","vn585ut","MAHJID KHURSHEED - Vendor (vn585ut)","P1","Item-US-0","Closed Incomplete","Ontario Knife Company Rat II, Black Coated AUS-8 Stainless Steel Drop-Point Blade Folding Pocket Knife, Bone-Colored Nylon Handle Liner Lock Knife, Everyday Carry Knife – ON8862BONE","15868018436","Review","8881","true","2025-03-30 03:48:27","2025-03-30 11:17:38","2025-03-30 11:17:38","","Manual","0","0",""
