number,assignment_group,assigned_to,sys_updated_by,closed_by,rule.priority,tenant_id,state,item,item.item_id,decision,rule.id,deleted,sys_created_on,sys_updated_on,closed_at,first_opened,decision_method,closefirstopenedtask,reopentask,item.abstract_product_id
RRTASK121818810,US - Marketplace Item Risk Reviewers PHL,,svcsn_tns,,P3,Item-CA-1,Open,Girl's Hoodie Long Sleeve Soft Sweatshirt Graphic Hoody Kids Cute Pullovers Top Clothes For Girls Sweatshirts for Kids Hoodie Women Zip up Big Girls Pullover Sweaters Expensive Hoodie Girls Zip Jacket,15847619937,Review,3282,FALSE,3/31/2025 0:00,3/31/2025 0:00,,,Manual,0,0,6TBLDVZTR0H4
RRTASK121818811,US - Marketplace Item Risk Reviewers PHL,,svcsn_tns,,P3,Item-CA-1,Open,Cute Hoodies For Teen Girls Trendy Preppy Hooded Sweatshirts Oversized Long Sleeve Shirts Gradient Clothes For Girls 18 Month Jacket Sweater 4t World of Dance Hoodie Jacket 18 Months Boy Sweaters for,15895965957,Review,3282,FALSE,3/31/2025 0:00,3/31/2025 0:00,,,Manual,0,0,7AV4W07EGKBV
RRTASK121818815,US - Marketplace Item Risk Reviewers PHL,,svcsn_tns,,P3,Item-CA-1,Open,Girl's Hoodie Long Sleeve Soft Sweatshirt Graphic Hoody Kids Cute Pullovers Top Clothes For Girls Sweatshirts for Kids Hoodie Women Zip up Big Girls Pullover Sweaters Expensive Hoodie Girls Zip Jacket,15847619939,Review,3282,FALSE,3/31/2025 0:00,3/31/2025 0:00,,,Manual,0,0,6TBLDVZTR0H4
RRTASK121818817,US - Marketplace Item Risk Reviewers PHL,,svcsn_tns,,P3,Item-CA-1,Open,Girl's Hoodie Long Sleeve Soft Sweatshirt Graphic Hoody Kids Cute Pullovers Top Clothes For Girls Kids Clothes Boys 2-7 Hoodie Pack Cute Long Sleeve Tops for Teen Girls Oversized Sweatshirts for Teen,15875552258,Review,3282,FALSE,3/31/2025 0:00,3/31/2025 0:00,,,Manual,0,0,6YIALLYZO0AW
RRTASK121818818,US - Marketplace Item Risk Reviewers PHL,,svcsn_tns,,P3,Item-CA-1,Open,Girl's Hoodie Long Sleeve Soft Sweatshirt Graphic Hoody Kids Cute Pullovers Top Clothes For Girls Kids Clothes Boys 2-7 Hoodie Pack Cute Long Sleeve Tops for Teen Girls Oversized Sweatshirts for Teen,15873112731,Review,3282,FALSE,3/31/2025 0:00,3/31/2025 0:00,,,Manual,0,0,6YIALLYZO0AW
RRTASK121818819,US - Marketplace Item Risk Reviewers PHL,,svcsn_tns,,P3,Item-CA-1,Open,Girl's Hoodie Long Sleeve Soft Sweatshirt Graphic Hoody Kids Cute Pullovers Top Clothes For Girls Sweatshirts for Kids Hoodie Women Zip up Big Girls Pullover Sweaters Expensive Hoodie Girls Zip Jacket,15896210108,Review,3282,FALSE,3/31/2025 0:00,3/31/2025 0:00,,,Manual,0,0,6TBLDVZTR0H4
RRTASK121818829,US - Marketplace Item Risk Reviewers PHL,,svcsn_tns,,P3,Item-CA-1,Open,Girl's Hoodie Long Sleeve Soft Sweatshirt Graphic Hoody Kids Cute Pullovers Top Clothes For Girls Sweatshirts for Kids Hoodie Women Zip up Big Girls Pullover Sweaters Expensive Hoodie Girls Zip Jacket,15864367044,Review,3282,FALSE,3/31/2025 0:00,3/31/2025 0:00,,,Manual,0,0,6TBLDVZTR0H4
RRTASK121818825,US - Marketplace Item Risk Reviewers PHL,,svcsn_tns,,P3,Item-CA-1,Open,Girl's Hoodie Long Sleeve Soft Sweatshirt Graphic Hoody Kids Cute Pullovers Top Clothes For Girls Kids Clothes Boys 2-7 Hoodie Pack Cute Long Sleeve Tops for Teen Girls Oversized Sweatshirts for Teen,15896015712,Review,3282,FALSE,3/31/2025 0:00,3/31/2025 0:00,,,Manual,0,0,6YIALLYZO0AW
RRTASK121818835,US - Marketplace Item Risk Reviewers PHL,,svcsn_tns,,P3,Item-CA-1,Open,Cute Hoodies For Teen Girls Trendy Preppy Hooded Sweatshirts Oversized Long Sleeve Shirts Gradient Clothes For Girls 18 Month Jacket Sweater 4t World of Dance Hoodie Jacket 18 Months Boy Sweaters for,15873112021,Review,3282,FALSE,3/31/2025 0:00,3/31/2025 0:00,,,Manual,0,0,7AV4W07EGKBV
RRTASK121818830,US - Marketplace Item Risk Reviewers PHL,,svcsn_tns,,P3,Item-CA-1,Open,Girl's Hoodie Long Sleeve Soft Sweatshirt Graphic Hoody Kids Cute Pullovers Top Clothes For Girls Sweatshirts for Kids Hoodie Women Zip up Big Girls Pullover Sweaters Expensive Hoodie Girls Zip Jacket,15863958615,Review,3282,FALSE,3/31/2025 0:00,3/31/2025 0:00,,,Manual,0,0,6TBLDVZTR0H4
RRTASK121818832,US - Marketplace Item Risk Reviewers PHL,,svcsn_tns,,P3,Item-CA-1,Open,Cute Hoodies For Teen Girls Trendy Preppy Hooded Sweatshirts Oversized Long Sleeve Shirts Gradient Clothes For Girls 18 Month Jacket Sweater 4t World of Dance Hoodie Jacket 18 Months Boy Sweaters for,15873112023,Review,3282,FALSE,3/31/2025 0:00,3/31/2025 0:00,,,Manual,0,0,7AV4W07EGKBV
RRTASK121818842,US - Marketplace Item Risk Reviewers PHL,,svcsn_tns,,P3,Item-CA-1,Open,Cute Hoodies For Teen Girls Trendy Preppy Hooded Sweatshirts Oversized Long Sleeve Shirts Gradient Clothes For Girls 18 Month Jacket Sweater 4t World of Dance Hoodie Jacket 18 Months Boy Sweaters for,15852909627,Review,3282,FALSE,3/31/2025 0:00,3/31/2025 0:00,,,Manual,0,0,7AV4W07EGKBV
RRTASK121818839,US - Marketplace Item Risk Reviewers PHL,,svcsn_tns,,P3,Item-CA-1,Open,Girl's Hoodie Long Sleeve Soft Sweatshirt Graphic Hoody Kids Cute Pullovers Top Clothes For Girls Kids Clothes Boys 2-7 Hoodie Pack Cute Long Sleeve Tops for Teen Girls Oversized Sweatshirts for Teen,15870454612,Review,3282,FALSE,3/31/2025 0:00,3/31/2025 0:00,,,Manual,0,0,6YIALLYZO0AW
